OBJECT_NAME,MEAN_MOTION,NORAD_CAT_ID,SEMIMAJOR_AXIS,PERIOD,OBJECT_TYPE,RCS_SIZE,AVG_ALTITUDE,Clusters
COSMOS 397 DEB *,13.33733439,5763,7510.851,107.968,DEBRIS,SMALL,1140.851,6
TBA - TO BE ASSIGNED,12.9237032,81134,7670.268,111.423,UNKNOWN,,1300.268,6
COSMOS 480,13.1987246,5905,7563.344,109.101,PAYLOAD,LARGE,1193.344,6
THORAD AGENA D DEB *,12.90917394,5967,7676.022,111.549,DEBRIS,SMALL,1306.022,6
CZ-4C R/B,13.33248681,40879,7512.672,108.007,ROCKET BODY,LARGE,1142.672,6
DELTA 1 R/B,13.18578833,6237,7568.29,109.208,ROCKET BODY,LARGE,1198.29,6
TBA - TO BE ASSIGNED,12.955075,270122,7657.88,111.153,UNKNOWN,,1287.88,6
DELTA 1 DEB *,13.14111591,6213,7585.432,109.58,DEBRIS,SMALL,1215.432,6
OPS 4682 DEB,12.99743797,38360,7641.231,110.791,DEBRIS,SMALL,1271.231,6
COSMOS 249 DEB *,13.07202444,6176,7612.137,110.159,DEBRIS,SMALL,1242.137,6
THORAD AGENA D DEB *,12.86507337,6159,7693.554,111.931,DEBRIS,SMALL,1323.554,6
SL-8 R/B,13.22309045,5907,7554.05,108.9,ROCKET BODY,LARGE,1184.05,6
OSCAR 23 DEB,13.28763642,33395,7529.567,108.371,DEBRIS,SMALL,1159.567,6
OPS 4682 DEB,13.00141207,38363,7639.674,110.757,DEBRIS,SMALL,1269.674,6
DELTA 1 DEB,12.87683957,2223,7688.866,111.829,DEBRIS,SMALL,1318.866,6
OPS 4682 DEB,12.95668913,38364,7657.244,111.14,DEBRIS,SMALL,1287.244,6
OPS 4682 DEB,12.98300227,38365,7646.894,110.914,DEBRIS,SMALL,1276.894,6
OPS 4682 DEB,12.95434065,38368,7658.169,111.16,DEBRIS,SMALL,1288.169,6
OPS 4682 DEB,12.97412464,38369,7650.382,110.99,DEBRIS,SMALL,1280.382,6
THOR DELTA 1 DEB,12.86313605,33515,7694.326,111.948,DEBRIS,SMALL,1324.326,6
OPS 4682 DEB,12.9933726,38361,7642.825,110.826,DEBRIS,SMALL,1272.825,6
OPS 4682 DEB,12.98323625,38380,7646.802,110.912,DEBRIS,SMALL,1276.802,6
M-4S R/B,12.88367733,5498,7686.146,111.769,ROCKET BODY,MEDIUM,1316.146,6
SCOUT A DEB,13.23629875,5447,7549.024,108.792,DEBRIS,SMALL,1179.024,6
OPS 4682 DEB,12.97487698,38393,7650.086,110.984,DEBRIS,SMALL,1280.086,6
COSMOS 2251 DEB,13.15248985,33894,7581.059,109.485,DEBRIS,SMALL,1211.059,6
OPS 4682 DEB,12.98734304,38394,7645.19,110.877,DEBRIS,SMALL,1275.19,6
OPS 4682 DEB,12.97524488,38395,7649.942,110.981,DEBRIS,SMALL,1279.942,6
COSMOS 397 DEB,13.3358022,5280,7511.426,107.98,DEBRIS,SMALL,1141.426,6
COSMOS 397 DEB,12.98432644,5277,7646.374,110.903,DEBRIS,SMALL,1276.374,6
COSMOS 397 DEB,13.34391787,5272,7508.38,107.914,DEBRIS,SMALL,1138.38,6
OPS 4682 DEB,12.94662167,38392,7661.213,111.226,DEBRIS,SMALL,1291.213,6
COSMOS 374 DEB,12.77983521,5240,7727.725,112.678,DEBRIS,SMALL,1357.725,6
TBA - TO BE ASSIGNED,13.05013944,81406,7620.645,110.344,UNKNOWN,,1250.645,6
THORAD AGENA D DEB,12.90320151,5220,7678.39,111.6,DEBRIS,SMALL,1308.39,6
TBA - TO BE ASSIGNED,13.35327809,81418,7504.871,107.839,UNKNOWN,,1134.871,6
