OBJECT_NAME,MEAN_MOTION,NORAD_CAT_ID,SEMIMAJOR_AXIS,PERIOD,OBJECT_TYPE,RCS_SIZE,AVG_ALTITUDE,Clusters
CZ-4B DEB,14.95289551,46483,6959.611,96.302,DEBRIS,SMALL,589.611,0
FENGYUN 1C DEB,14.98468374,35222,6949.765,96.098,DEBRIS,SMALL,579.765,0
COSMOS 1461,14.95234638,14064,6959.782,96.306,PAYLOAD,LARGE,589.782,0
FALCON 1 R/B,14.7820591,35579,7013.13,97.415,ROCKET BODY,LARGE,643.13,0
TBA - TO BE ASSIGNED,14.75911197,81678,7020.397,97.567,TBA,,650.397,0
COSMOS 2251 DEB,15.21364972,36004,6879.859,94.652,DEBRIS,SMALL,509.859,0
IRIDIUM 33 DEB,14.90021771,36017,6976.005,96.643,DEBRIS,SMALL,606.005,0
SL-19 R/B,14.88315751,36039,6981.335,96.754,ROCKET BODY,LARGE,611.335,0
PSLV DEB,14.79623152,27582,7008.651,97.322,DEBRIS,SMALL,638.651,0
COSMOS 2251 DEB,14.78853681,36050,7011.082,97.373,DEBRIS,SMALL,641.082,0
COSMOS 2251 DEB,14.87974328,36057,6982.403,96.776,DEBRIS,SMALL,612.403,0
COSMOS 2251 DEB,14.86656394,36070,6986.529,96.862,DEBRIS,SMALL,616.529,0
COSMOS 2251 DEB,14.84133651,36077,6994.444,97.026,DEBRIS,SMALL,624.444,0
COSMOS 2251 DEB,15.07570123,36079,6921.765,95.518,DEBRIS,SMALL,551.765,0
SL-14 R/B,14.84279309,13553,6993.986,97.017,ROCKET BODY,LARGE,623.986,0
COSMOS 1408,15.28805864,13552,6857.518,94.191,PAYLOAD,LARGE,487.518,0
FENGYUN 1C DEB,14.7823523,36159,7013.037,97.413,DEBRIS,SMALL,643.037,0
TBA - TO BE ASSIGNED,14.77702497,81794,7014.723,97.449,TBA,,644.723,0
FENGYUN 1C DEB,14.92501377,36169,6968.276,96.482,DEBRIS,SMALL,598.276,0
FENGYUN 1C DEB,15.05777563,36241,6927.257,95.632,DEBRIS,SMALL,557.257,0
FENGYUN 1C DEB,14.86514085,36243,6986.974,96.871,DEBRIS,SMALL,616.974,0
CZ-4B DEB,14.95288399,36289,6959.615,96.302,DEBRIS,SMALL,589.615,0
COSMOS 2251 DEB,14.79140928,36422,7010.174,97.354,DEBRIS,SMALL,640.174,0
COSMOS 2251 DEB,14.88103254,36378,6981.999,96.767,DEBRIS,SMALL,611.999,0
YAOGAN 1 DEB,14.87900526,36365,6982.633,96.781,DEBRIS,LARGE,612.633,0
SL-8 DEB,14.82706757,13030,6998.93,97.12,DEBRIS,SMALL,628.93,0
COSMOS 1340,15.21442881,13067,6879.625,94.647,PAYLOAD,LARGE,509.625,0
SL-3 R/B,15.07652813,13068,6921.512,95.513,ROCKET BODY,LARGE,551.512,0
COSMOS 2251 DEB,14.83146322,35996,6997.547,97.091,DEBRIS,SMALL,627.547,0
SL-3 R/B,15.09143336,13121,6916.953,95.418,ROCKET BODY,LARGE,546.953,0
SL-3 R/B,14.98922352,13154,6948.362,96.069,ROCKET BODY,LARGE,578.362,0
COSMOS 1378,15.23709319,13271,6872.801,94.506,PAYLOAD,LARGE,502.801,0
SL-14 R/B,14.84756966,13272,6992.486,96.986,ROCKET BODY,LARGE,622.486,0
LANDSAT 4,15.17783056,13367,6890.679,94.875,PAYLOAD,LARGE,520.679,0
SL-3 R/B,15.07431742,13403,6922.188,95.527,ROCKET BODY,LARGE,552.188,0
CZ-4B DEB,14.98726515,36290,6948.967,96.082,DEBRIS,SMALL,578.967,0
COSMOS 1356,15.42327941,13153,6817.378,93.365,PAYLOAD,LARGE,447.378,0
COSMOS 2251 DEB,15.02042178,35984,6938.737,95.869,DEBRIS,SMALL,568.737,0
COSMOS 2251 DEB,14.8549424,35983,6990.172,96.937,DEBRIS,SMALL,620.172,0
COSMOS 2251 DEB,14.86739155,35968,6986.269,96.856,DEBRIS,SMALL,616.269,0
COSMOS 2251 DEB,14.89572643,35699,6977.407,96.672,DEBRIS,SMALL,607.407,0
SL-24 DEB,14.75741927,35689,7020.934,97.578,DEBRIS,LARGE,650.934,0
SL-3 R/B,15.16177576,13819,6895.543,94.976,ROCKET BODY,LARGE,525.543,0
IRIDIUM 33 DEB,14.87319111,35678,6984.453,96.818,DEBRIS,SMALL,614.453,0
COSMOS 2251 DEB,14.98841238,35673,6948.612,96.074,DEBRIS,SMALL,578.612,0
COSMOS 2251 DEB,15.1023289,35644,6913.626,95.35,DEBRIS,SMALL,543.626,0
COSMOS 2251 DEB,14.95853078,35723,6957.863,96.266,DEBRIS,SMALL,587.863,0
IRIDIUM 33 DEB,14.75438139,35624,7021.898,97.598,DEBRIS,SMALL,651.898,0
COSMOS 2251 DEB,14.97999009,35602,6951.217,96.128,DEBRIS,SMALL,581.217,0
COSMOS 2251 DEB,15.24581181,35598,6870.18,94.452,DEBRIS,SMALL,500.18,0
COSMOS 2251 DEB,14.89738355,35592,6976.889,96.661,DEBRIS,SMALL,606.889,0
COSMOS 1455,15.1887639,14032,6887.372,94.807,PAYLOAD,LARGE,517.372,0
SL-14 R/B,14.83858332,14033,6995.309,97.044,ROCKET BODY,LARGE,625.309,0
TBA - TO BE ASSIGNED,14.761054,81696,7019.782,97.554,TBA,,649.782,0
COSMOS 2251 DEB,14.96542368,35613,6955.726,96.222,DEBRIS,SMALL,585.726,0
FENGYUN 1C DEB,14.77243826,35097,7016.175,97.479,DEBRIS,SMALL,646.175,0
IRIDIUM 33 DEB,15.06873827,35735,6923.897,95.562,DEBRIS,SMALL,553.897,0
COSMOS 2251 DEB,14.97186496,35782,6953.731,96.18,DEBRIS,SMALL,583.731,0
COSMOS 2251 DEB,15.00830491,35965,6942.471,95.947,DEBRIS,SMALL,572.471,0
COSMOS 2251 DEB,14.9990751,35960,6945.319,96.006,DEBRIS,SMALL,575.319,0
IRIDIUM 33 DEB,14.85779328,35925,6989.278,96.919,DEBRIS,SMALL,619.278,0
COSMOS 2251 DEB,14.7754846,35906,7015.21,97.459,DEBRIS,SMALL,645.21,0
COSMOS 2251 DEB,14.77905028,35905,7014.082,97.435,DEBRIS,SMALL,644.082,0
COSMOS 2251 DEB,14.78500516,35903,7012.198,97.396,DEBRIS,SMALL,642.198,0
COSMOS 2251 DEB,14.99517783,35760,6946.522,96.031,DEBRIS,SMALL,576.522,0
COSMOS 2251 DEB,15.10175479,35897,6913.801,95.353,DEBRIS,SMALL,543.801,0
COSMOS 2251 DEB,14.82389961,35891,6999.927,97.14,DEBRIS,SMALL,629.927,0
IRIDIUM 33 DEB,14.83266115,35862,6997.171,97.083,DEBRIS,SMALL,627.171,0
IRIDIUM 33 DEB,14.76437822,35856,7018.728,97.532,DEBRIS,SMALL,648.728,0
COSMOS 2251 DEB,14.93663916,35841,6964.66,96.407,DEBRIS,SMALL,594.66,0
IRIDIUM 33 DEB,15.0768106,35800,6921.425,95.511,DEBRIS,SMALL,551.425,0
COSMOS 2251 DEB,14.75494945,35795,7021.718,97.594,DEBRIS,SMALL,651.718,0
SL-3 R/B,15.10942809,13771,6911.46,95.305,ROCKET BODY,LARGE,541.46,0
TBA - TO BE ASSIGNED,14.75130863,81845,7022.873,97.618,TBA,,652.873,0
COSMOS 2251 DEB,14.76313357,35071,7019.122,97.54,DEBRIS,SMALL,649.122,0
IRIDIUM 33 DEB,14.85304042,35054,6990.769,96.95,DEBRIS,SMALL,620.769,0
COSMOS 1743,15.16082211,16719,6895.832,94.982,PAYLOAD,LARGE,525.832,0
COSMOS 2251 DEB,14.86380659,33981,6987.393,96.88,DEBRIS,SMALL,617.393,0
COSMOS 2251 DEB,14.76832922,34013,7017.476,97.506,DEBRIS,SMALL,647.476,0
COSMOS 2251 DEB,14.73095015,34020,7029.342,97.753,DEBRIS,SMALL,659.342,0
RESURS O1 DEB,14.81665813,46512,7002.208,97.188,DEBRIS,SMALL,632.208,0
COSMOS 2251 DEB,14.95005896,34029,6960.491,96.321,DEBRIS,SMALL,590.491,0
COSMOS 2251 DEB,15.43179793,34030,6814.869,93.314,DEBRIS,SMALL,444.869,0
COSMOS 2251 DEB,15.31000534,34042,6850.963,94.056,DEBRIS,SMALL,480.963,0
SL-14 R/B,14.84308517,16612,6993.894,97.015,ROCKET BODY,LARGE,623.894,0
COSMOS 1733,15.17882262,16611,6890.379,94.869,PAYLOAD,LARGE,520.379,0
COSMOS 2251 DEB,14.74870219,34051,7023.7,97.636,DEBRIS,SMALL,653.7,0
SL-14 R/B,14.84187818,16496,6994.273,97.023,ROCKET BODY,LARGE,624.273,0
COSMOS 1726,15.25847363,16495,6866.379,94.374,PAYLOAD,LARGE,496.379,0
IRIDIUM 33 DEB,14.91031368,34076,6972.855,96.577,DEBRIS,SMALL,602.855,0
IRIDIUM 33 DEB,14.96343229,34090,6956.344,96.235,DEBRIS,SMALL,586.344,0
TBA - TO BE ASSIGNED,14.85252567,81343,6990.93,96.953,TBA,,620.93,0
