OBJECT_NAME,MEAN_MOTION,NORAD_CAT_ID,SEMIMAJOR_AXIS,PERIOD,OBJECT_TYPE,RCS_SIZE,AVG_ALTITUDE,Clusters
FENGYUN 1C DEB,14.16403893,30336,7215.677,101.666,DEBRIS,SMALL,845.677,7
FENGYUN 1C DEB,14.26690608,30338,7180.951,100.933,DEBRIS,SMALL,810.951,7
FENGYUN 1C DEB,14.16176724,30339,7216.449,101.682,DEBRIS,SMALL,846.449,7
FENGYUN 1C DEB,14.0362262,30340,7259.415,102.592,DEBRIS,SMALL,889.415,7
FENGYUN 1C DEB,14.13442422,30355,7225.753,101.879,DEBRIS,SMALL,855.753,7
FENGYUN 1C DEB,14.1201345,30341,7230.627,101.982,DEBRIS,SMALL,860.627,7
FENGYUN 1C DEB,14.2197574,30345,7196.816,101.268,DEBRIS,SMALL,826.816,7
FENGYUN 1C DEB,14.15526401,30346,7218.659,101.729,DEBRIS,SMALL,848.659,7
FENGYUN 1C DEB,13.9177684,30347,7300.548,103.465,DEBRIS,SMALL,930.548,7
FENGYUN 1C DEB,14.18278519,30348,7209.318,101.532,DEBRIS,SMALL,839.318,7
FENGYUN 1C DEB,13.98795128,30349,7276.107,102.946,DEBRIS,SMALL,906.107,7
FENGYUN 1C DEB,14.06170547,30352,7250.643,102.406,DEBRIS,SMALL,880.643,7
FENGYUN 1C DEB,14.26820693,30344,7180.515,100.924,DEBRIS,SMALL,810.515,7
SL-16 DEB,14.10694995,39301,7235.131,102.077,DEBRIS,SMALL,865.131,7
SL-16 DEB,13.95675371,39300,7286.946,103.176,DEBRIS,SMALL,916.946,7
FENGYUN 1C DEB,14.10305639,30370,7236.463,102.106,DEBRIS,SMALL,866.463,7
FENGYUN 1C DEB,13.93892393,30395,7293.159,103.308,DEBRIS,SMALL,923.159,7
FENGYUN 1C DEB,13.91664627,30397,7300.94,103.473,DEBRIS,SMALL,930.94,7
FENGYUN 1C DEB,14.26154182,30401,7182.752,100.971,DEBRIS,SMALL,812.752,7
FENGYUN 1C DEB,14.07032875,30403,7247.68,102.343,DEBRIS,SMALL,877.68,7
FENGYUN 1C DEB,14.15102602,30405,7220.1,101.759,DEBRIS,SMALL,850.1,7
FENGYUN 1C DEB,13.99409746,30409,7273.977,102.901,DEBRIS,SMALL,903.977,7
FENGYUN 1C DEB,13.94113383,30394,7292.388,103.291,DEBRIS,SMALL,922.388,7
FENGYUN 1C DEB,13.94629079,30411,7290.59,103.253,DEBRIS,SMALL,920.59,7
FENGYUN 1C DEB,14.13611521,30414,7225.176,101.867,DEBRIS,SMALL,855.176,7
FENGYUN 1C DEB,14.01049942,30416,7268.299,102.78,DEBRIS,SMALL,898.299,7
BLITS DEB,14.21906446,39119,7197.05,101.272,DEBRIS,SMALL,827.05,7
FENGYUN 1C DEB,14.1878133,39114,7207.614,101.496,DEBRIS,SMALL,837.614,7
