OBJECT_NAME,MEAN_MOTION,NORAD_CAT_ID,SEMIMAJOR_AXIS,PERIOD,OBJECT_TYPE,RCS_SIZE,AVG_ALTITUDE,Clusters
CZ-4B R/B,15.19141554,39359,6886.571,94.79,ROCKET BODY,LARGE,516.571,0
TBA - TO BE ASSIGNED,14.79418261,85117,7009.298,97.336,TBA,,639.298,0
CZ-2C R/B,15.27909204,39364,6860.201,94.246,ROCKET BODY,LARGE,490.201,0
FLOCK 3P 25,15.30754393,41964,6851.697,94.071,PAYLOAD,SMALL,481.697,0
IRIDIUM 33 DEB,14.8149979,36563,7002.731,97.199,DEBRIS,SMALL,632.731,0
CINEMA 2,14.72779053,39424,7030.347,97.774,PAYLOAD,SMALL,660.347,0
COSMOS 1726,15.25776345,16495,6866.592,94.378,PAYLOAD,LARGE,496.592,0
ICUBE 1,14.90876078,39432,6973.34,96.588,PAYLOAD,SMALL,603.34,0
SL-14 R/B,14.8418403,16496,6994.285,97.023,ROCKET BODY,LARGE,624.285,0
FLOCK 3P 7,15.32365658,41970,6846.893,93.972,PAYLOAD,SMALL,476.893,0
HUMSAT D,14.92887695,39433,6967.074,96.457,PAYLOAD,SMALL,597.074,0
COSMOS 2251 DEB,14.97776613,36554,6951.905,96.143,DEBRIS,SMALL,581.905,0
COSMOS 2251 DEB,14.77155683,36553,7016.454,97.485,DEBRIS,SMALL,646.454,0
DOVE 4,15.07659796,39434,6921.49,95.512,PAYLOAD,SMALL,551.49,0
VELOX-P 2,14.78219516,39438,7013.087,97.414,PAYLOAD,SMALL,643.087,0
PUCP-SAT 1,14.91345038,39442,6971.878,96.557,PAYLOAD,SMALL,601.878,0
UNISAT 5,14.88060121,39421,6982.134,96.77,PAYLOAD,MEDIUM,612.134,0
SL-14 R/B,14.84079456,15945,6994.614,97.03,ROCKET BODY,LARGE,624.614,0
FLOCK 3P 27,15.30502306,41963,6852.45,94.087,PAYLOAD,SMALL,482.45,0
FLOCK 2K 44,15.45773581,42873,6807.243,93.157,PAYLOAD,SMALL,437.243,0
FENGYUN 1C DEB,15.10428025,29825,6913.031,95.337,DEBRIS,SMALL,543.031,0
FENGYUN 1C DEB,14.71917173,36693,7033.091,97.832,DEBRIS,SMALL,663.091,0
VENTA 1,15.24855537,42791,6869.356,94.435,PAYLOAD,MEDIUM,499.356,0
FLOCK 3P 21,15.30401231,41959,6852.751,94.093,PAYLOAD,SMALL,482.751,0
FLOCK 3P 28,15.29958266,41960,6854.074,94.12,PAYLOAD,SMALL,484.074,0
DSAT,14.91566244,42794,6971.188,96.543,PAYLOAD,SMALL,601.188,0
FENGYUN 1C DEB,15.08931116,29834,6917.602,95.432,DEBRIS,SMALL,547.602,0
FLOCK 2K 03,15.45831325,42850,6807.073,93.154,PAYLOAD,SMALL,437.073,0
FENGYUN 1C DEB,14.73529362,29840,7027.96,97.725,DEBRIS,SMALL,657.96,0
COSMOS 1703,15.11694816,16262,6909.168,95.257,PAYLOAD,LARGE,539.168,0
SL-14 R/B,14.83142293,16263,6997.56,97.091,ROCKET BODY,LARGE,627.56,0
PEGASUS DEB,14.96888026,39313,6954.656,96.2,DEBRIS,SMALL,584.656,0
FLOCK 2K 04,15.45899415,42851,6806.874,93.15,PAYLOAD,SMALL,436.874,0
FLOCK 2K 45,15.45821399,42856,6807.103,93.154,PAYLOAD,SMALL,437.103,0
COSMOS 1707,15.14681415,16326,6900.083,95.069,PAYLOAD,LARGE,530.083,0
SL-14 R/B,14.83508515,16327,6996.408,97.067,ROCKET BODY,LARGE,626.408,0
OBJECT E,15.28851159,45943,6857.382,94.188,TBA,SMALL,487.382,0
OBJECT E,14.75422364,45915,7021.948,97.599,TBA,MEDIUM,651.948,0
FLOCK 2K 21,15.45776784,42860,6807.234,93.157,PAYLOAD,SMALL,437.234,0
FLOCK 2K 31,15.45747704,42869,6807.319,93.159,PAYLOAD,SMALL,437.319,0
FENGYUN 1C DEB,14.75549565,32363,7021.544,97.591,DEBRIS,SMALL,651.544,0
FLOCK 3P 26,15.30835466,41961,6851.455,94.066,PAYLOAD,SMALL,481.455,0
FLOCK 3P 17,15.31264662,41962,6850.175,94.04,PAYLOAD,SMALL,480.175,0
FENGYUN 1C DEB,14.9413561,36654,6963.194,96.377,DEBRIS,SMALL,593.194,0
FLOCK 2K 02,15.45909336,42853,6806.844,93.149,PAYLOAD,SMALL,436.844,0
QUBESCOUT-S1,14.96651356,39443,6955.389,96.215,PAYLOAD,SMALL,585.389,0
UNHA 3 R/B,15.16468056,39027,6894.662,94.957,ROCKET BODY,MEDIUM,524.662,0
METEOR 2-5 DEB,14.77454717,36922,7015.507,97.465,DEBRIS,SMALL,645.507,0
RESURS O1 DEB,14.8145112,46888,7002.884,97.202,DEBRIS,SMALL,632.884,0
RESURS O1 DEB,14.82050631,46887,7000.996,97.163,DEBRIS,SMALL,630.996,0
RESURS O1 DEB,14.82453997,46886,6999.726,97.136,DEBRIS,SMALL,629.726,0
RESURS O1 DEB,14.81409363,46885,7003.016,97.205,DEBRIS,SMALL,633.016,0
RESURS O1 DEB,14.8214926,46884,7000.685,97.156,DEBRIS,SMALL,630.685,0
ARIANE 40 R/B,14.96342046,25979,6956.347,96.235,ROCKET BODY,LARGE,586.347,0
RESURS O1 DEB,14.81695363,46883,7002.115,97.186,DEBRIS,SMALL,632.115,0
COSMOS 2251 DEB,14.80379769,37084,7006.263,97.272,DEBRIS,SMALL,636.263,0
CLEMENTINE,14.97162137,25978,6953.807,96.182,PAYLOAD,MEDIUM,583.807,0
RESURS O1 DEB,14.81039724,46882,7004.181,97.229,DEBRIS,SMALL,634.181,0
HELIOS 1B,14.8255823,25977,6999.398,97.129,PAYLOAD,LARGE,629.398,0
RESURS O1 DEB,14.81426002,46889,7002.964,97.204,DEBRIS,SMALL,632.964,0
RESURS O1 DEB,14.8061502,46881,7005.52,97.257,DEBRIS,SMALL,635.52,0
RESURS O1 DEB,14.82329066,46879,7000.119,97.144,DEBRIS,SMALL,630.119,0
RESURS O1 DEB,14.82073176,46878,7000.925,97.161,DEBRIS,SMALL,630.925,0
COSMOS 1515,15.18731874,14551,6887.809,94.816,PAYLOAD,LARGE,517.809,0
CZ-4B R/B,15.0088556,29507,6942.301,95.943,ROCKET BODY,LARGE,572.301,0
CZ-4 DEB,14.93997755,29509,6963.622,96.386,DEBRIS,SMALL,593.622,0
SL-14 R/B,14.8355121,14552,6996.274,97.064,ROCKET BODY,LARGE,626.274,0
RESURS O1 DEB,14.81447169,46877,7002.897,97.202,DEBRIS,SMALL,632.897,0
TBA - TO BE ASSIGNED,15.04221684,82314,6932.033,95.731,TBA,,562.033,0
FENGYUN 1C DEB,14.85014842,32148,6991.676,96.969,DEBRIS,SMALL,621.676,0
RESURS O1 DEB,14.82590496,46876,6999.296,97.127,DEBRIS,SMALL,629.296,0
PEHUENSAT 1,15.21062872,29712,6880.77,94.671,PAYLOAD,LARGE,510.77,0
RESURS O1 DEB,14.81818399,46880,7001.727,97.178,DEBRIS,SMALL,631.727,0
PSLV DEB,14.84050909,38842,6994.703,97.032,DEBRIS,SMALL,624.703,0
RESURS O1 DEB,14.81182834,46891,7003.73,97.22,DEBRIS,SMALL,633.73,0
RESURS O1 DEB,14.81205308,46892,7003.659,97.218,DEBRIS,SMALL,633.659,0
SL-3 DEB,15.18763995,14209,6887.712,94.814,DEBRIS,SMALL,517.712,0
OBJECT A,15.22218292,46929,6877.288,94.599,TBA,MEDIUM,507.288,0
SL-3 DEB,14.98193964,14229,6950.614,96.116,DEBRIS,SMALL,580.614,0
COSMOS 2251 DEB,14.74162028,37125,7025.95,97.683,DEBRIS,SMALL,655.95,0
COSMOS 2251 DEB,14.78224262,37110,7013.072,97.414,DEBRIS,SMALL,643.072,0
TBA - TO BE ASSIGNED,14.73201396,82168,7029.004,97.746,TBA,,659.004,0
SL-8 DEB,14.73387258,14346,7028.412,97.734,DEBRIS,SMALL,658.412,0
COSMOS 1500,15.19320741,14372,6886.029,94.779,PAYLOAD,LARGE,516.029,0
SL-14 R/B,14.83831091,14373,6995.394,97.046,ROCKET BODY,LARGE,625.394,0
PSLV R/B,15.07809337,46915,6921.033,95.503,ROCKET BODY,LARGE,551.033,0
RESURS O1 DEB,14.81427953,46903,7002.957,97.204,DEBRIS,SMALL,632.957,0
COSMOS 2251 DEB,14.74757498,37085,7024.058,97.643,DEBRIS,SMALL,654.058,0
RESURS O1 DEB,14.80396902,46902,7006.209,97.271,DEBRIS,SMALL,636.209,0
RESURS O1 DEB,14.80525904,46901,7005.802,97.263,DEBRIS,SMALL,635.802,0
COSMOS 249 DEB *,14.88260936,14417,6981.506,96.757,DEBRIS,SMALL,611.506,0
COSMOS 252 DEB,14.76074639,14420,7019.879,97.556,DEBRIS,SMALL,649.879,0
RESURS O1 DEB,14.82049966,46900,7000.998,97.163,DEBRIS,SMALL,630.998,0
RESURS O1 DEB,14.81357411,46899,7003.18,97.208,DEBRIS,SMALL,633.18,0
COSMOS 2251 DEB,14.77236594,37092,7016.197,97.479,DEBRIS,SMALL,646.197,0
RESURS O1 DEB,14.82576494,46898,6999.34,97.128,DEBRIS,SMALL,629.34,0
RESURS O1 DEB,14.81551346,46896,7002.569,97.195,DEBRIS,SMALL,632.569,0
RESURS O1 DEB,14.81286384,46895,7003.404,97.213,DEBRIS,SMALL,633.404,0
RESURS O1 DEB,14.80838151,46894,7004.817,97.242,DEBRIS,SMALL,634.817,0
RESURS O1 DEB,14.82340762,46893,7000.082,97.144,DEBRIS,SMALL,630.082,0
FENGYUN 1C DEB,14.76483676,38815,7018.582,97.529,DEBRIS,SMALL,648.582,0
KMS 3-2,15.30152194,39026,6853.495,94.108,PAYLOAD,MEDIUM,483.495,0
PSLV R/B,14.85777815,29713,6989.283,96.919,ROCKET BODY,LARGE,619.283,0
CZ-2C DEB,14.86699837,38863,6986.392,96.859,DEBRIS,LARGE,616.392,0
SL-14 R/B,14.83702022,14820,6995.8,97.055,ROCKET BODY,LARGE,625.8,0
RESURS O1 DEB,14.8301484,46516,6997.961,97.1,DEBRIS,SMALL,627.961,0
SL-8 DEB *,14.86918642,14866,6985.707,96.845,DEBRIS,SMALL,615.707,0
RESURS O1 DEB,14.82242069,46515,7000.393,97.15,DEBRIS,SMALL,630.393,0
RESURS O1 DEB,14.80860275,46514,7004.747,97.241,DEBRIS,SMALL,634.747,0
RESURS O1 DEB,14.82502628,46513,6999.573,97.133,DEBRIS,SMALL,629.573,0
RESURS O1 DEB,14.81267681,46512,7003.463,97.214,DEBRIS,SMALL,633.463,0
RESURS O1 DEB,14.81462429,46511,7002.849,97.201,DEBRIS,SMALL,632.849,0
RESURS O1 DEB,14.80612094,46510,7005.53,97.257,DEBRIS,SMALL,635.53,0
COSMOS 1220 DEB,15.06941728,25795,6923.689,95.558,DEBRIS,SMALL,553.689,0
TBA - TO BE ASSIGNED,14.85256085,82448,6990.919,96.953,TBA,,620.919,0
COSMOS 1544,15.28900576,14819,6857.235,94.185,PAYLOAD,LARGE,487.235,0
RESURS O1 DEB,14.80886598,46509,7004.664,97.239,DEBRIS,SMALL,634.664,0
RESURS O1 DEB,14.82231233,46508,7000.427,97.151,DEBRIS,SMALL,630.427,0
CZ-4B DEB,14.78772567,46484,7011.338,97.378,DEBRIS,SMALL,641.338,0
CZ-4B DEB,14.9522389,46483,6959.815,96.307,DEBRIS,SMALL,589.815,0
CZ-4B R/B,15.09013869,46481,6917.349,95.427,ROCKET BODY,LARGE,547.349,0
FENGYUN 1C DEB,14.94250671,29775,6962.837,96.369,DEBRIS,SMALL,592.837,0
CZ-4B DEB,14.81139177,46480,7003.868,97.222,DEBRIS,LARGE,633.868,0
FENGYUN 1C DEB,14.7838017,32203,7012.579,97.404,DEBRIS,SMALL,642.579,0
FLOCK 3P 8,15.2758465,41951,6861.172,94.266,PAYLOAD,SMALL,491.172,0
FLOCK 3P 51,15.28017789,41952,6859.876,94.24,PAYLOAD,SMALL,489.876,0
FLOCK 3P 37,15.31578887,41953,6849.238,94.021,PAYLOAD,SMALL,479.238,0
TERRIERS,15.50857248,25735,6792.359,92.852,PAYLOAD,MEDIUM,422.359,0
SL-3 DEB,15.1317962,14928,6904.648,95.164,DEBRIS,SMALL,534.648,0
DELTA 1 DEB,15.19705247,7851,6884.868,94.755,DEBRIS,SMALL,514.868,0
SL-8 DEB *,14.77462257,14818,7015.483,97.464,DEBRIS,SMALL,645.483,0
FLOCK 3P 20,15.28135848,41950,6859.522,94.232,PAYLOAD,SMALL,489.522,0
RESURS O1 DEB,14.81345719,46875,7003.217,97.209,DEBRIS,SMALL,633.217,0
RESURS O1 DEB,14.81533084,46874,7002.626,97.197,DEBRIS,SMALL,632.626,0
RESURS O1 DEB,14.80780721,46873,7004.998,97.246,DEBRIS,SMALL,634.998,0
FENGYUN 1C DEB,14.86053028,32151,6988.42,96.901,DEBRIS,SMALL,618.42,0
SL-3 DEB,15.34620356,14631,6840.185,93.834,DEBRIS,SMALL,470.185,0
OBJECT H,15.32932259,46834,6845.206,93.938,TBA,LARGE,475.206,0
ELECTRON KICK STAGE R/B,15.17304598,46824,6892.128,94.905,ROCKET BODY,MEDIUM,522.128,0
IKONOS 2,14.87667866,25919,6983.361,96.796,PAYLOAD,LARGE,613.361,0
COSMOS 1536,15.05809308,14699,6927.16,95.63,PAYLOAD,LARGE,557.16,0
SL-14 R/B,14.83329673,14700,6996.971,97.079,ROCKET BODY,LARGE,626.971,0
FENGYUN 1C DEB,14.75058327,32157,7023.103,97.623,DEBRIS,SMALL,653.103,0
SL-8 DEB *,14.90038949,14817,6975.951,96.642,DEBRIS,SMALL,605.951,0
CZ-2C R/B,15.16925404,46811,6893.276,94.929,ROCKET BODY,LARGE,523.276,0
PEGASUS R/B,15.15960199,41892,6896.202,94.989,ROCKET BODY,LARGE,526.202,0
FENGYUN 1C DEB,15.04278926,32170,6931.857,95.727,DEBRIS,SMALL,561.857,0
LANDSAT 5,14.92293348,14780,6968.924,96.496,PAYLOAD,LARGE,598.924,0
TBA - TO BE ASSIGNED,14.7657324,82383,7018.299,97.523,TBA,,648.299,0
TBA - TO BE ASSIGNED,14.85299308,82402,6990.784,96.95,TBA,,620.784,0
FLOCK 4V 21,15.16294705,46596,6895.188,94.968,PAYLOAD,MEDIUM,525.188,0
