OBJECT_NAME,MEAN_MOTION,NORAD_CAT_ID,SEMIMAJOR_AXIS,PERIOD,OBJECT_TYPE,RCS_SIZE,AVG_ALTITUDE,Clusters
CZ-2D DEB,14.81586313,44609,7002.458,97.193,DEBRIS,SMALL,632.458,0
CZ-2D DEB,14.75968837,44611,7020.215,97.563,DEBRIS,SMALL,650.215,0
KZ-1A R/B,14.65691771,44787,7052.992,98.247,ROCKET BODY,LARGE,682.992,0
COSMOS 2535 DEB,14.77271892,44712,7016.086,97.477,DEBRIS,SMALL,646.086,0
SL-14 R/B,14.84386576,13553,6993.649,97.01,ROCKET BODY,LARGE,623.649,0
COSMOS 2535 DEB,14.92052092,44641,6969.675,96.511,DEBRIS,SMALL,599.675,0
COSMOS 2535 DEB,14.72333851,44640,7031.764,97.804,DEBRIS,SMALL,661.764,0
ELECTRON R/B,14.72978205,44635,7029.714,97.761,ROCKET BODY,LARGE,659.714,0
COSMOS 2535 DEB,14.74812407,44633,7023.884,97.64,DEBRIS,SMALL,653.884,0
COSMOS 2535 DEB,14.89360353,44632,6978.07,96.686,DEBRIS,SMALL,608.07,0
COSMOS 2535 DEB,14.89363077,44631,6978.061,96.686,DEBRIS,SMALL,608.061,0
PEGASUS R/B,14.93127458,44629,6966.328,96.442,ROCKET BODY,LARGE,596.328,0
VOLGA DEB,14.84964079,44621,6991.836,96.972,DEBRIS,SMALL,621.836,0
CZ-2D DEB,14.81218348,44619,7003.618,97.217,DEBRIS,SMALL,633.618,0
YAOGAN 1 DEB,14.88695887,36365,6980.146,96.729,DEBRIS,LARGE,610.146,0
CZ-4C DEB,14.78897895,44616,7010.942,97.37,DEBRIS,SMALL,640.942,0
CZ-2D DEB,14.78335905,44612,7012.719,97.407,DEBRIS,SMALL,642.719,0
CZ-2D DEB,14.82298783,44610,7000.214,97.146,DEBRIS,SMALL,630.214,0
MINOTAUR 4 R/B,14.98100583,45877,6950.902,96.122,ROCKET BODY,LARGE,580.902,0
FENGYUN 1C DEB,14.6238849,30988,7063.609,98.469,DEBRIS,SMALL,693.609,0
FENGYUN 1C DEB,14.64087308,36192,7058.144,98.355,DEBRIS,SMALL,688.144,0
RESURS O1 DEB,14.86206414,46509,6987.939,96.891,DEBRIS,SMALL,617.939,0
RESURS O1 DEB,14.90431185,46508,6974.727,96.616,DEBRIS,SMALL,604.727,0
CZ-4B DEB,14.79451562,46484,7009.193,97.333,DEBRIS,SMALL,639.193,0
CZ-4B DEB,14.9692593,46483,6954.538,96.197,DEBRIS,SMALL,584.538,0
CZ-4B DEB,14.82216286,46480,7000.474,97.152,DEBRIS,LARGE,630.474,0
FENGYUN 1C DEB,14.62559558,31149,7063.058,98.458,DEBRIS,SMALL,693.058,0
COSMOS 2251 DEB,14.78741586,35905,7011.436,97.38,DEBRIS,SMALL,641.436,0
