OBJECT_NAME,MEAN_MOTION,NORAD_CAT_ID,SEMIMAJOR_AXIS,PERIOD,OBJECT_TYPE,RCS_SIZE,AVG_ALTITUDE,Clusters
DELTA 1 DEB,11.57367109,10650,8255.71,124.42,DEBRIS,MEDIUM,1885.71,1
DELTA 1 DEB,11.75787916,13536,8169.256,122.471,DEBRIS,SMALL,1799.256,1
DELTA 1 DEB,11.30681826,17000,8385.1,127.357,DEBRIS,SMALL,2015.1,1
TBA - TO BE ASSIGNED,11.81477294,270272,8143.009,121.881,TBA,,1773.009,1
FREGAT DEB,11.34256047,45620,8367.475,126.955,DEBRIS,SMALL,1997.475,1
COSMOS 2251 DEB,14.49920496,34954,7104.045,99.316,DEBRIS,SMALL,734.045,2
FENGYUN 1C DEB,14.33533226,35136,7158.082,100.451,DEBRIS,SMALL,788.082,2
COSMOS 2251 DEB,14.5194141,34953,7097.452,99.178,DEBRIS,SMALL,727.452,2
COSMOS 2251 DEB,14.39916298,34962,7136.912,100.006,DEBRIS,SMALL,766.912,2
COSMOS 2251 DEB,14.34944135,34963,7153.389,100.352,DEBRIS,SMALL,783.389,2
FENGYUN 1C DEB,14.25075059,35137,7186.377,101.047,DEBRIS,SMALL,816.377,2
COSMOS 676,14.32637581,7433,7161.065,100.514,PAYLOAD,LARGE,791.065,2
DMSP 5D-3 F17 DEB,14.26214729,29637,7182.548,100.967,DEBRIS,MEDIUM,812.548,2
METEOR 2-6 DEB,14.32148715,28987,7162.695,100.548,DEBRIS,SMALL,792.695,2
THOR BURNER 2A R/B,14.22977579,7412,7193.437,101.196,ROCKET BODY,LARGE,823.437,2
COROT,14.44602186,29678,7121.47,99.681,PAYLOAD,LARGE,751.47,2
OPS 6983 (DMSP 5C F1),14.28029265,7411,7176.463,100.838,PAYLOAD,LARGE,806.463,2
DMSP 5D-3 F17 DEB,14.23491883,29600,7191.705,101.16,DEBRIS,SMALL,821.705,2
COSMOS 2251 DEB,14.43964051,34965,7123.568,99.725,DEBRIS,SMALL,753.568,2
CZ-4B DEB,14.52362694,29537,7096.079,99.149,DEBRIS,SMALL,726.079,2
NOAA 17 DEB,14.26904274,49474,7180.234,100.918,DEBRIS,SMALL,810.234,2
DELTA 2 DEB,14.46017572,29363,7116.822,99.584,DEBRIS,SMALL,746.822,2
CZ-4B DEB,14.54480739,29536,7089.189,99.004,DEBRIS,SMALL,719.189,2
COSMOS 2251 DEB,14.28530559,34969,7174.784,100.803,DEBRIS,SMALL,804.784,2
DMSP 5D-3 F17 DEB,14.21930827,29525,7196.967,101.271,DEBRIS,SMALL,826.967,2
DMSP 5D-3 F17 DEB,14.21159914,29524,7199.57,101.326,DEBRIS,SMALL,829.57,2
COSMOS 2251 DEB,14.35583684,34967,7151.264,100.308,DEBRIS,SMALL,781.264,2
METEOR 2-6 DEB,14.29576271,28986,7171.285,100.729,DEBRIS,SMALL,801.285,2
COSMOS 2251 DEB,14.48923051,34948,7107.305,99.384,DEBRIS,SMALL,737.305,2
FENGYUN 1C DEB,14.3126473,35091,7165.643,100.61,DEBRIS,SMALL,795.643,2
COSMOS 1408 DEB,14.3728056,49571,7145.635,100.189,DEBRIS,SMALL,775.635,2
FENGYUN 1C DEB,14.24915657,35159,7186.913,101.059,DEBRIS,SMALL,816.913,2
FENGYUN 1C DEB,14.31211693,35160,7165.82,100.614,DEBRIS,SMALL,795.82,2
FENGYUN 1C DEB,14.34902205,29791,7153.528,100.355,DEBRIS,SMALL,783.528,2
COSMOS 1408 DEB,14.43437119,49635,7125.302,99.762,DEBRIS,SMALL,755.302,2
FENGYUN 1C DEB,14.33828283,29801,7157.1,100.43,DEBRIS,MEDIUM,787.1,2
FENGYUN 1C DEB,14.30257064,29802,7169.009,100.681,DEBRIS,SMALL,799.009,2
FENGYUN 1C DEB,14.43464334,29803,7125.212,99.76,DEBRIS,SMALL,755.212,2
IRIDIUM 33 DEB,14.52757699,34890,7094.793,99.122,DEBRIS,SMALL,724.793,2
FENGYUN 1C DEB,14.54692803,35163,7088.5,98.99,DEBRIS,SMALL,718.5,2
FENGYUN 1C DEB,14.27388874,29808,7178.609,100.884,DEBRIS,SMALL,808.609,2
YUNHAI 1-02 DEB,14.36700046,49266,7147.559,100.23,DEBRIS,SMALL,777.559,2
FENGYUN 1C DEB,14.4203996,29809,7129.903,99.859,DEBRIS,SMALL,759.903,2
FENGYUN 1C DEB,14.25742523,29810,7184.134,101.0,DEBRIS,SMALL,814.134,2
FENGYUN 1C DEB,14.23354373,35167,7192.168,101.169,DEBRIS,SMALL,822.168,2
FENGYUN 1C DEB,14.27322388,29811,7178.832,100.888,DEBRIS,SMALL,808.832,2
YUNHAI 1-02 DEB,14.35483736,49267,7151.596,100.315,DEBRIS,SMALL,781.596,2
FENGYUN 1C DEB,14.28047977,29790,7176.4,100.837,DEBRIS,SMALL,806.4,2
FENGYUN 1C DEB,14.394276,35147,7138.527,100.04,DEBRIS,SMALL,768.527,2
IRIDIUM 33 DEB,14.50223314,34896,7103.056,99.295,DEBRIS,SMALL,733.056,2
SL-8 R/B,14.36797129,7434,7147.237,100.223,ROCKET BODY,LARGE,777.237,2
COSMOS 2251 DEB,14.46634265,34924,7114.8,99.541,DEBRIS,SMALL,744.8,2
COSMOS 1408 DEB,14.42732702,49572,7127.621,99.811,DEBRIS,SMALL,757.621,2
COSMOS 2251 DEB,14.50641616,34920,7101.691,99.266,DEBRIS,SMALL,731.691,2
METEOR 2-5 DEB,14.22308548,28974,7195.693,101.244,DEBRIS,SMALL,825.693,2
FENGYUN 1C DEB,14.2192882,29751,7196.974,101.271,DEBRIS,SMALL,826.974,2
COSMOS 2251 DEB,14.36298625,34918,7148.891,100.258,DEBRIS,SMALL,778.891,2
COSMOS 2251 DEB,14.51313109,34946,7099.5,99.22,DEBRIS,SMALL,729.5,2
