CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2,,,,,,,MASS_kg,AVG_ALTITUDE,,AVG_VELOCITY
2,GENERATED VIA SPACE-TRACK.ORG API,2022-05-31T14:46:11,18 SPCS,SL-16 R/B,1987-041B,EARTH,TEME,UTC,SGP4,2022-05-31T12:44:06.766368,14.17297628,0.0013021,71.0091,57.5682,158.9029,14.0549,0,U,17974,999,81303,0.00010469,1.64E-06,0,7212.644,101.602,843.9,825.117,ROCKET BODY,LARGE,CIS,5/13/1987,TTMTR,,3473628,204995703,0 SL-16 R/B,1 17974U 87041B   22151.53063387  .00000164  00000-0  10469-3 0  9998,2 17974  71.0091  57.5682 0013021 158.9029  14.0549 14.17297628813037,,,,,,,9000,842.644,,7.43398484
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-01T06:14:15,18 SPCS,SL-16 R/B,1994-023B,EARTH,TEME,UTC,SGP4,2022-05-31T13:28:05.546784,14.14712294,0.0005133,71.0005,84.3269,245.1069,114.952,0,U,23088,999,45116,0.0001878,3.14E-06,0,7221.428,101.787,847,839.586,ROCKET BODY,LARGE,CIS,4/23/1994,TTMTR,,3474670,205048731,0 SL-16 R/B,1 23088U 94023B   22151.56117531  .00000314  00000-0  18780-3 0  9994,2 23088  71.0005  84.3269 0005133 245.1069 114.9520 14.14712294451161,,,,,,,9000,851.428,,7.429462189
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-01T06:14:15,18 SPCS,SL-16 R/B,1992-093B,EARTH,TEME,UTC,SGP4,2022-05-31T21:51:39.289824,14.15088383,0.0006517,71.023,15.7088,256.0956,103.9442,0,U,22285,999,51822,-8.52E-05,-2.13E-06,0,7220.149,101.76,846.719,837.308,ROCKET BODY,LARGE,CIS,12/25/1992,TTMTR,,3474670,205049190,0 SL-16 R/B,1 22285U 92093B   22151.91087141 -.00000213  00000-0 -85204-4 0  9995,2 22285  71.0230  15.7088 0006517 256.0956 103.9442 14.15088383518227,,,,,,,9000,850.149,,7.430120199
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-01T06:14:15,18 SPCS,SL-16 R/B,1993-059B,EARTH,TEME,UTC,SGP4,2022-05-31T09:35:01.349952,14.16863957,0.0016267,70.992,36.754,157.2036,202.9813,0,U,22803,999,48428,-7.24E-05,-1.93E-06,0,7214.115,101.633,847.715,824.245,ROCKET BODY,LARGE,CIS,9/16/1993,TTMTR,,3474670,205048721,0 SL-16 R/B,1 22803U 93059B   22151.39932118 -.00000193  00000-0 -72396-4 0  9994,2 22803  70.9920  36.7540 0016267 157.2036 202.9813 14.16863957484286,,,,,,,9000,844.115,,7.433226885
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-01T06:14:15,18 SPCS,SL-16 R/B,1988-102B,EARTH,TEME,UTC,SGP4,2022-05-31T18:57:11.754432,14.1583214,0.0016195,70.9985,169.8818,303.7757,56.1822,0,U,19650,999,73184,0.00012923,2.07E-06,0,7217.62,101.707,851.174,827.796,ROCKET BODY,LARGE,CIS,11/23/1988,TTMTR,,3474670,205047821,0 SL-16 R/B,1 19650U 88102B   22151.78971938  .00000207  00000-0  12923-3 0  9992,2 19650  70.9985 169.8818 0016195 303.7757  56.1822 14.15832140731842,,,,,,,9000,847.62,,7.431421815
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-01T06:14:15,18 SPCS,SL-16 R/B,1996-051B,EARTH,TEME,UTC,SGP4,2022-05-31T21:11:59.108064,14.12410942,0.001417,70.8186,205.7783,3.0204,357.0999,0,U,24298,999,32709,4.55E-05,3.50E-07,0,7229.27,101.953,861.379,840.891,ROCKET BODY,LARGE,CIS,9/4/1996,TTMTR,,3474670,205049533,0 SL-16 R/B,1 24298U 96051B   22151.88332301  .00000035  00000-0  45545-4 0  9990,2 24298  70.8186 205.7783 0014170   3.0204 357.0999 14.12410942327092,,,,,,,9000,859.27,,7.425431516
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-01T06:14:15,18 SPCS,SL-16 R/B,2004-021B,EARTH,TEME,UTC,SGP4,2022-05-31T15:53:26.488896,14.14261726,0.0006218,71.0003,243.4978,314.286,45.7752,0,U,28353,999,92797,5.91E-05,6.50E-07,0,7222.962,101.82,849.318,840.336,ROCKET BODY,LARGE,CIS,6/10/2004,TTMTR,,3474670,205050734,0 SL-16 R/B,1 28353U 04021B   22151.66211214  .00000065  00000-0  59059-4 0  9995,2 28353  71.0003 243.4978 0006218 314.2860  45.7752 14.14261726927970,,,,,,,9000,852.962,,7.428673219
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-01T06:14:15,18 SPCS,SL-16 R/B,1987-027B,EARTH,TEME,UTC,SGP4,2022-05-31T16:55:27.606432,14.16826952,0.0003207,71.0031,299.3185,45.3045,314.8339,0,U,17590,999,82018,-4.68E-05,-1.42E-06,0,7214.241,101.636,838.419,833.792,ROCKET BODY,LARGE,CIS,3/18/1987,TTMTR,,3474670,205048002,0 SL-16 R/B,1 17590U 87027B   22151.70518063 -.00000142  00000-0 -46825-4 0  9995,2 17590  71.0031 299.3185 0003207  45.3045 314.8339 14.16826952820180,,,,,,,9000,844.241,,7.433161972
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-01T06:14:15,18 SPCS,SL-16 R/B,1988-039B,EARTH,TEME,UTC,SGP4,2022-05-31T14:34:47.574912,14.19246296,0.0024068,71.0144,101.5602,291.4496,68.4062,0,U,19120,999,76283,8.89E-05,1.39E-06,0,7206.04,101.462,845.248,810.561,ROCKET BODY,LARGE,CIS,5/15/1988,TTMTR,,3474670,205048051,0 SL-16 R/B,1 19120U 88039B   22151.60749508  .00000139  00000-0  88879-4 0  9998,2 19120  71.0144 101.5602 0024068 291.4496  68.4062 14.19246296762838,,,,,,,9000,836.04,,7.43739051
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-01T06:14:15,18 SPCS,SL-16 R/B,1998-043G,EARTH,TEME,UTC,SGP4,2022-05-31T13:56:44.025504,14.25514569,0.0010951,98.6727,87.8873,61.3513,298.8766,0,U,25400,999,24261,2.52E-05,1.60E-07,0,7184.9,101.016,814.633,798.897,ROCKET BODY,LARGE,CIS,7/10/1998,TTMTR,,3474670,205051314,0 SL-16 R/B,1 25400U 98043G   22151.58106511  .00000016  00000-0  25154-4 0  9991,2 25400  98.6727  87.8873 0010951  61.3513 298.8766 14.25514569242611,,,,,,,9000,814.9,,7.448323923
