CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2,,,,,,,AVG_ALTITUDE,,AVG_VELOCITY
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-03T02:31:39,18 SPCS,STARLETTE,1975-010A,EARTH,TEME,UTC,SGP4,2022-06-02T17:20:11.193792,13.82312882,0.0205806,49.8226,168.3474,228.9598,129.3346,0,U,7646,999,39044,-4.84E-06,-1.47E-06,0,7333.832,104.173,1106.631,804.762,PAYLOAD,MEDIUM,FR,2/6/1975,FRGUI,,3477983,205190902,0 STARLETTE,1 07646U 75010A   22153.72235178 -.00000147  00000-0 -48368-5 0  9992,2 07646  49.8226 168.3474 0205806 228.9598 129.3346 13.82312882390449,,,,,,,963.832,,7.372307493
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-03T06:56:14,18 SPCS,OSCAR 11 (UoSAT 2),1984-021B,EARTH,TEME,UTC,SGP4,2022-06-03T05:18:22.337568,14.8365738,0.0008819,97.6168,142.3047,19.27,340.8847,0,U,14781,999,5893,6.94E-05,5.23E-06,0,6995.94,97.057,623.975,611.636,PAYLOAD,MEDIUM,UK,3/1/1984,AFWTR,,3478306,205222785,0 OSCAR 11 (UoSAT 2),1 14781U 84021B   22154.22109187  .00000523  00000-0  69372-4 0  9991,2 14781  97.6168 142.3047 0008819  19.2700 340.8847 14.83657380 58930,,,,,,,625.94,,7.548243149
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-03T02:31:39,18 SPCS,EGS (AJISAI),1986-061A,EARTH,TEME,UTC,SGP4,2022-06-02T21:42:46.406592,12.44496273,0.0011449,50.0114,3.7748,26.0861,127.5396,0,U,16908,999,29668,7.70E-06,-9.60E-07,0,7865.737,115.709,1496.608,1478.597,PAYLOAD,LARGE,JPN,8/12/1986,TNSTA,,3477983,205195456,0 EGS (AJISAI),1 16908U 86061A   22153.90470378 -.00000096  00000-0  77040-5 0  9995,2 16908  50.0114   3.7748 0011449  26.0861 127.5396 12.44496273296684,,,,,,,1495.737,,7.118675707
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-03T02:31:39,18 SPCS,OSCAR 19 (LUSAT),1990-005G,EARTH,TEME,UTC,SGP4,2022-06-02T17:13:53.361408,14.33060225,0.001113,98.793,118.355,207.3555,152.7044,0,U,20442,999,69099,3.54E-05,5.10E-07,0,7159.657,100.484,789.491,773.553,PAYLOAD,MEDIUM,ARGN,1/22/1990,FRGUI,,3477983,205194313,0 OSCAR 19 (LUSAT),1 20442U 90005G   22153.71797872  .00000051  00000-0  35405-4 0  9994,2 20442  98.7930 118.3550 0011130 207.3555 152.7044 14.33060225690998,,,,,,,789.657,,7.46144275
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-03T02:31:39,18 SPCS,HST,1990-037B,EARTH,TEME,UTC,SGP4,2022-06-02T16:47:02.631264,15.10537216,0.0002326,28.4698,266.5643,232.2904,237.6843,0,U,20580,999,56398,8.45E-05,1.61E-05,0,6912.698,95.33,536.17,532.955,PAYLOAD,LARGE,US,4/24/1990,AFETR,,3477983,205195071,0 HST,1 20580U 90037B   22153.69933601  .00001612  00000-0  84491-4 0  9994,2 20580  28.4698 266.5643 0002326 232.2904 237.6843 15.10537216563986,,,,,,,542.698,,7.593554733
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-03T02:31:39,18 SPCS,SCD 1,1993-009B,EARTH,TEME,UTC,SGP4,2022-06-02T20:48:24.560352,14.44689773,0.0043044,24.9701,305.75,22.1442,109.4431,0,U,22490,999,54744,3.15E-05,2.95E-06,0,7121.182,99.675,773.7,712.395,PAYLOAD,MEDIUM,BRAZ,2/9/1993,AFETR,,3477983,205194173,0 SCD 1,1 22490U 93009B   22153.86695093  .00000295  00000-0  31540-4 0  9990,2 22490  24.9701 305.7500 0043044  22.1442 109.4431 14.44689773547441,,,,,,,751.182,,7.481572294
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-03T02:31:39,18 SPCS,STELLA,1993-061B,EARTH,TEME,UTC,SGP4,2022-06-02T21:40:22.281888,14.27390765,0.0006167,98.9646,174.4523,188.3665,299.1424,0,U,22824,999,49430,1.95E-06,-4.20E-07,0,7178.603,100.883,804.895,796.041,PAYLOAD,MEDIUM,FR,9/26/1993,FRGUI,,3477983,205195940,0 STELLA,1 22824U 93061B   22153.90303567 -.00000042  00000-0  19475-5 0  9991,2 22824  98.9646 174.4523 0006167 188.3665 299.1424 14.27390765494300,,,,,,,808.603,,7.451590005
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-03T06:46:12,18 SPCS,EYESAT A,1993-061C,EARTH,TEME,UTC,SGP4,2022-06-02T23:06:11.628576,14.30172138,0.0009597,98.8874,184.6934,93.9595,266.2683,0,U,22825,999,49635,3.11E-05,3.40E-07,0,7169.292,100.687,798.038,784.277,PAYLOAD,MEDIUM,US,9/26/1993,FRGUI,,3478214,205220042,0 EYESAT A,1 22825U 93061C   22153.96263459  .00000034  00000-0  31125-4 0  9998,2 22825  98.8874 184.6934 0009597  93.9595 266.2683 14.30172138496350,,,,,,,799.292,,7.45642725
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-03T06:56:14,18 SPCS,ITAMSAT,1993-061D,EARTH,TEME,UTC,SGP4,2022-06-03T01:25:22.491840,14.30517644,0.0010112,98.8818,184.6722,81.8497,278.3832,0,U,22826,999,49660,3.49E-05,4.50E-07,0,7168.138,100.663,797.251,782.755,PAYLOAD,MEDIUM,IT,9/26/1993,FRGUI,,3478287,205221645,0 ITAMSAT,1 22826U 93061D   22154.05928810  .00000045  00000-0  34879-4 0  9990,2 22826  98.8818 184.6722 0010112  81.8497 278.3832 14.30517644496609,,,,,,,798.138,,7.457027432
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-03T06:56:14,18 SPCS,RADIO ROSTO,1994-085A,EARTH,TEME,UTC,SGP4,2022-06-03T04:57:20.518272,11.27572389,0.0167947,64.8164,168.659,274.9478,83.2292,0,U,23439,999,12988,0.00015882,-3.70E-07,0,8400.508,127.708,2163.457,1881.289,PAYLOAD,MEDIUM,CIS,12/26/1994,TTMTR,,3478274,205221426,0 RADIO ROSTO,1 23439U 94085A   22154.20648748 -.00000037  00000-0  15882-3 0  9998,2 23439  64.8164 168.6590 0167947 274.9478  83.2292 11.27572389129881,,,,,,,2030.508,,6.888364894
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-03T07:06:16,18 SPCS,JAS 2,1996-046B,EARTH,TEME,UTC,SGP4,2022-06-03T02:06:26.054784,13.531156,0.0349611,98.5168,179.75,320.7335,36.8914,0,U,24278,999,27391,1.88E-05,-1.90E-07,0,7438.955,106.421,1320.894,800.746,PAYLOAD,MEDIUM,JPN,8/17/1996,TNSTA,,3478419,205224758,0 JAS 2,1 24278U 96046B   22154.08780156 -.00000019  00000-0  18763-4 0  9997,2 24278  98.5168 179.7500 0349611 320.7335  36.8914 13.53115600273916,,,,,,,1068.955,,7.320031565
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-03T06:26:12,18 SPCS,FORTE,1997-047A,EARTH,TEME,UTC,SGP4,2022-06-03T03:43:51.672288,14.265344,0.0020544,69.9534,101.6748,131.8151,228.4729,0,U,24920,999,28849,7.71E-05,1.29E-06,0,7181.475,100.944,818.094,788.587,PAYLOAD,LARGE,US,8/29/1997,WRAS,,3478050,205215729,0 FORTE,1 24920U 97047A   22154.15545917  .00000129  00000-0  77090-4 0  9994,2 24920  69.9534 101.6748 0020544 131.8151 228.4729 14.26534400288491,,,,,,,811.475,,7.450099844
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-03T02:31:39,18 SPCS,ORBCOMM FM 8,1997-084A,EARTH,TEME,UTC,SGP4,2022-06-02T17:51:50.064480,14.39672182,0.000665,45.016,266.3787,54.8488,305.2984,0,U,25112,999,28108,0.00017022,3.94E-06,0,7137.719,100.023,764.33,754.837,PAYLOAD,MEDIUM,ORB,12/23/1997,ERAS,,3477983,205196773,0 ORBCOMM FM 8,1 25112U 97084A   22153.74432945  .00000394  00000-0  17022-3 0  9991,2 25112  45.0160 266.3787 0006650  54.8488 305.2984 14.39672182281085,,,,,,,767.719,,7.472900441
